Gene,Cervix_Intensity,Cervix_Structure,Cervix_Quantity,Endometrium_Prol_Intensity,Endometrium_Prol_Structure,Endometrium_Prol_Quantity,Endometrium_Secr_Intensity,Endometrium_Secr_Structure,Endometrium_Secr_Quantity,Caudate_Intensity,Caudate_Structure,Caudate_Quantity,Choroid_Plexus_Intensity,Choroid_Plexus_Structure,Choroid_Plexus_Quantity,Epididymis_Intensity,Epididymis_Structure,Epididymis_Quantity,FT_Intensity,FT_Structure,FT_Quantity,FT_Ext_Intensity,FT_Ext_Structure,FT_Ext_Quantity,Nasopharynx_Intensity,Nasopharynx_Structure,Nasopharynx_Quantity,Bronchus_Intensity,Bronchus_Structure,Bronchus_Quantity,Intensity,Structure,Quantity
AGR3,1,Cell body,<25%,1,Cell body,<25%,1,Cell body,<25%,0,Negative,0%,1,Rootlets,>75%,1,Cell body,75-25%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,,,
AK8,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,<25%,1,Cilia,>75%,,,
AKAP14,0,"Cell body, Cilia",>75%,1,Cell body,<25%,0,"Cell body, Cilia",<25%,0,Cell body,>75%,1,Cell body,75-25%,1,Rootlets,>75%,1,Cilia,>75%,1,Cilia tip,>75%,0,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
ANKRD45,1,Cilia,75-25%,1,Cilia,<25%,0,Negative,0%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,1,Cilia,75-25%,1,"Cilia axoneme, Cilia tip",75-25%,1,Cilia,>75%,1,Cilia,>75%,,,
ARMC3,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
ARMC4,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,1,Cell body,>75%,1,Cilia,>75%,1,"Cilia, Rootlets",>75%,1,"Cilia axoneme, Cilia tip, Rootlets",>75%,1,"Cell body, Cilia, Rootlets",75-25%,1,"Cell body, Cilia, Rootlets",75-25%,,,
C16orf71,1,Cell body,>75%,1,Cell body,<25%,0,Negative,0%,1,Cell body,75-25%,0,Negative,0%,1,Cell body,75-25%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,,,
C1orf194,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,1,"Cell body, Cilia",<25% / 75-25%,1,Cell body,>75%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,0,Cilia,>75%,1,Cilia,>75%,,,
C1orf87,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,0,Negative,0%,1,"Cell body, Cilia",>75%,0,Cell body,>75%,1,Cilia,>75%,1,"Cilia, Rootlets",>75%,1,"Cilia tip, Rootlets",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
C20orf85,1,Rootlets,>75%,1,"Cilia, Rootlets",<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,"Cilia, Rootlets",75-25%,1,Rootlets,>75%,1,"Cilia tip, Rootlets",>75%,1,"Cell body, Rootlets",75-25%,1,Rootlets,>75%,,,
C2orf50,1,Cilia,>75%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
C5orf49,1,"Cell body, Cilia",>75%,1,Cilia,<25%,0,Cell body,75-25%,1,"Cell body, Cilia",75-25%,0,Cell body,>75%,1,Cilia,75-25%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
C7orf57,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,1,Cell body,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,Cilia tip,>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
CAPS,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,1,"Cell body, Cilia",75-25%,1,Cell body,<25%,1,"Cell body, Cilia",75-25%,1,"Cell body, Cilia, Rootlets",>75%,1,"Cilia axoneme, Cilia tip, Cell body, Cell body, Rootlets",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
CASC1,1,"Cell body, Cilia",>75%,0,Negative,0%,0,Negative,0%,1,Rootlets,<25%,0,Negative,0%,1,Cilia,75-25%,1,"Cilia, Rootlets",>75%,1,"Cilia axoneme, Cilia tip, Rootlets",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
CATIP,1,Cilia,>75%,0,Cilia,<25%,1,Cilia,<25%,0,Cilia,>75%,0,Cell body,>75%,0,Cilia,>75%,1,Cilia,>75%,1,"Cilia axonome, Cilia tip",>75%,0,Cilia,75-25%,1,Cilia,>75%,,,
CCDC114,1,Rootlets,>75%,1,Cell body,>75%,1,Cell body,>75%,1,Cilia,>75%,1,Rootlets,75-25%,1,Rootlets,>75%,1,"Cilia, Rootlets",75-25%,1,"Cilia tip, Rootlets",75-25%,0,Negative,0%,1,Cilia,>75%,,,
CCDC170,1,"Cell body, Cilia",>75%,0,"Cell body, Cilia",<25%,1,Cilia,<25%,0,"Cell body, Cilia",75-25%,0,Negative,0%,1,Cilia,>75%,1,"Cilia, Rootlets",75-25%,1,"Cilia tip, Rootlets",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
CCDC40,1,Cilia,>75%,1,Cilia,75-25%,1,Cilia,<25%,1,Cilia,>75%,1,Cell body,>75%,1,Cilia,>75%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
CFAP100,1,Cilia,>75%,0,Cell body,75-25%,0,Negative,0%,1,Cilia,75-25%,0,Negative,0%,1,"Cell body, Cilia",75-25%,1,Cilia,>75%,1,Cilia tip,>75%,0,Cilia,>75%,1,Cilia,>75%,,,
CFAP126,0,Cilia,>75%,0,Cell body,75-25%,0,Negative,0%,1,Cilia,75-25%,1,Cell body,>75%,0,"Cell body, Cilia",75-25%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,"Cell body, Cilia",>75%,,,
CFAP157,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
CFAP299,1,Rootlets,>75%,1,Cilia,<25%,1,Rootlets,<25%,1,Cilia,75-25%,0,Cell body,>75%,1,Cell body,<25%,1,"Cilia, Rootlets",75-25%,1,"Cilia tip, Rootlets",75-25%,0,"Cell body, Cilia, Rootlets",75-25%,1,Rootlets,>75%,,,
CFAP300,0,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,1,Cell body,>75%,0,Negative,0%,1,Cilia,75-25%,1,Cilia tip,75-25%,1,Cell body,>75%,1,"Cell body, Cilia",75-25%,,,
CFAP52,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,Cilia tip,>75%,0,Cilia,>75%,1,Cilia,>75%,,,
CFAP53,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",75-25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
CFAP57,1,"Cell body, Cilia",>75%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,0,Cell body,>75%,1,Cilia,>75%,1,"Cilia, Rootlets",>75%,1,"Cilia axoneme, Cilia tip, Rootlets",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
CFAP73,1,Cilia,<25%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,0,Cilia,>75%,1,Cilia,>75%,,,
CRISP3,0,Negative,0%,1,Cilia,<25%,1,"Cell body, Cilia",75-25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,Cell body,>75%,1,Cell body,>75%,0,Negative,0%,0,Negative,0%,,,
CROCC2,1,Rootlets,>75%,1,Rootlets,75-25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,Cilia,<25%,1,Rootlets,>75%,1,Rootlets,>75%,0,Rootlets,75-25%,0,Rootlets,75-25%,,,
DAW1,1,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Cell body,>75%,1,Cell body,<25%,1,Cilia,>75%,1,Cilia tip,>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
DLEC1,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,1,Cell body,<25%,0,Cell body,>75%,1,"Cell body, Cilia",75-25%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
DNAH10,1,Cilia,<25%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,1,Cell body,>75%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,0,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
DNAH6,1,"Cell body, Cilia",>75%,0,Negative,0%,0,Negative,0%,1,Cell body,<25%,0,Cell body,>75%,0,"Cell body, Cilia",>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
DNAI1,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,"Cilia, Rootlets",>75%,1,"Cilia tip, Rootlets",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
DNAI3,1,"Cell body, Cilia",>75%,0,Negative,0%,0,Negative,0%,0,Cilia,>75%,0,Negative,0%,0,Cell body,>75%,1,Cilia,>75%,1,Cilia tip,>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
DNAJB13,1,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
DRC3,1,Cell body,>75%,1,Cilia,<25%,1,"Cilia, Rootlets",<25%,1,Cilia,>75%,1,Cell body,>75%,1,Rootlets,<25%,1,"Cilia, Rootlets",>75%,1,"Cilia tip, Rootlets",>75%,1,Cell body,>75%,1,"Cell body, Cilia",>75%,,,
DYDC2,1,"Cell body, Cilia",>75%,1,Cilia,<25%,0,Negative,0%,1,"Cell body, Cilia",>75%,0,Cell body,>75%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
EFCAB1,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,0,Negative,0%,1,Cilia,>75%,1,Cell body,<25%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
ENKUR,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cell body,>75%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
ENO4,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Cilia,75-25%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
FAM166B,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
FAM92B,1,Rootlets,>75%,0,Cell body,<25%,0,Negative,0%,0,Negative,0%,0,Cell body,<25%,0,Negative,0%,1,Rootlets,75-25%,1,Rootlets,75-25%,1,Rootlets,>75%,1,Rootlets,>75%,,,
FBXO21,1,Rootlets,<25%,0,Cell body,>75%,0,Negative,0%,1,Cell body,<25%,0,Cell body,>75%,1,Rootlets,75-25%,0,"Cilia, Rootlets",>75%,0,"Cilia tip, Rootlets",>75%,0,Rootlets,>75%,0,Negative,0%,,,
FOXJ1,1,Cell body,>75%,1,Cell body,<25%,1,Cell body,<25%,1,Cell body,75-25%,0,Cell body,75-25%,1,Cell body,75-25%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,,,
GAS2L2,1,Rootlets,>75%,1,Rootlets,<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,Rootlets,75-25%,1,"Cilia, Rootlets",>75%,1,"Cilia tip, Rootlets",>75%,1,Rootlets,>75%,1,Rootlets,>75%,,,
KIAA2012,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cilia,75-25%,1,Cilia tip,75-25%,1,Cilia,>75%,1,Cilia,>75%,,,
KIF19,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,1,Cilia,75-25%,0,Cell body,>75%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
LRRC18,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,0,Cilia,>75%,0,Negative,0%,0,Rootlets,75-25%,1,Cilia,75-25%,1,"Cilia axoneme, Cilia tip",75-25%,0,Cilia,>75%,1,Cilia,>75%,,,
LRRC23,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
MDH1B,1,Cilia,<25%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
MS4A8,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,1,Cilia,<25%,1,Cilia,>75%,1,"Cilia axonemem, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
MSLN,1,Cilia,75-25%,0,Negative,0%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,Rootlets,75-25%,1,Rootlets,75-25%,0,Negative,0%,0,Negative,0%,,,
MUC16,1,Rootlets,>75%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cell body,<25%,1,"Cilia, Rootlets",75-25%,1,"Cilia axoneme, Cilia tip, Rootlets",75-25%,1,Cell body,75-25%,0,Cell body,>75%,,,
NME5,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,0,Cilia,>75%,1,Cilia,>75%,,,
NME9,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Rootlets,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
ODF3B,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
OVGP1,0,Negative,0%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,"Cell body, Cilia",75-25%,1,"Cilia axoneme, Cilia tip, Cell body",75-25%,0,Negative,0%,0,Negative,0%,,,
PACRG,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
PIH1D3,1,Cell body,>75%,1,Cell body,<25%,1,Cell body,<25%,1,"Cell body, Rootlets",75-25%,0,Negative,0%,1,Cell body,<25%,1,"Cell body, Rootlets",>75%,1,"Cell body, Rootlets",>75%,1,Cell body,75-25%,1,Cell body,>75%,,,
PPP1R36,0,Rootlets,>75%,0,Negative,0%,1,Rootlets,<25%,0,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Rootlets,75-25%,1,Rootlets,75-25%,1,Rootlets,>75%,1,Rootlets,<25%,,,
RIBC2,1,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,"Cilia, Rootlets",>75%,1,"Cilia axoneme, Cilia tip, Rootlets",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
RIIAD1,1,Cilia,<25%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,0,Cell body,<25%,1,Cilia,75-25%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,75-25%,1,Cilia,>75%,,,
RSPH1,1,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
RSPH10B,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
RSPH4A,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,>75%,0,Cell body,75-25%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
RSPH9,1,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
SAXO2,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
SLC23A1,1,Rootlets,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,<25%,1,Rootlets,75-25%,1,Rootlets,75-25%,1,Rootlets,75-25%,1,Rootlets,<25%,,,
SNTN,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,0,Cell body,75-25%,0,Negative,0%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
SPAG8,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,0,Negative,0%,1,Cilia,75-25%,0,Negative,0%,0,"Cell body, Cilia",75-25,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
SPATA18,1,Cell body,>75%,1,Rootlets,<25%,1,Rootlets,>75%,1,Rootlets,>75%,1,Cell body,75-25%,1,Rootlets,<25%,1,Rootlets,>75%,1,Rootlets,>75%,1,"Cell body, Rootlets",>75%,1,"Cell body, Cilia",>75%,,,
SPEF1,1,"Cell body, Cilia",>75%,1,Cell body,75-25%,0,Negative,0%,1,Rootlets,>75%,0,Cell body,>75%,1,Rootlets,<25%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
STMND1,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,0,Cilia,<25%,1,Cell body,<25%,1,Cell body,<25%,1,Cilia,75-25%,1,Cilia tip,75-25%,1,Cilia,>75%,1,Cilia,>75%,,,
STOML3,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,"Cilia, Rootlets",<25%,1,"Cilia, Rootlets",>75%,1,"Cilia axoneme, Cilia tip, Rootlets",>75%,1,Cilia,75-25%,0,Cilia,<25%,,,
TCTEX1D4,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,0,Cilia,75-25%,0,Cilia,>75%,0,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",75-25%,1,"Cell body, Cilia",>75%,,,
TEKT1,1,Cilia,>75%,1,"Cell body, Cilia",<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cell body,>75%,1,Cilia,>75%,1,Cilia tip,>75%,0,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
TMEM231,1,"Cell body, Cilia",>75%,1,Rootlets,<25%,1,Cell body,<25%,1,Cell body,>75%,0,Cell body,>75%,1,Cell body,75-25%,1,Rootlets,>75%,1,Rootlets,>75%,1,Rootlets,>75%,1,"Cell body, Rootlets",>75%,,,
TPPP3,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,1,"Cell body, Cilia",<25%,1,Cell body,75-25%,0,Negative,0%,1,"Cell body, Cilia",75-25%,1,"Cell body, Cilia, Rootlets",>75%,1,"Cilia axoneme, Cilia tip, Cell body, Cell body, Rootlets",>75%,1,Cell body,>75%,1,"Cell body, Cilia",>75%,,,
TTC25,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,"Cilia, Rootlets",>75%,1,"Cilia tip, Rootlets",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
VTCN1,0,"Cell body, Cilia",75-25%,0,Cilia,<25%,0,Negative,0%,1,Rootlets,75-25%,0,Negative,0%,1,Cilia,>75%,1,Rootlets,75-25%,1,Rootlets,75-25%,1,Rootlets,>75%,1,Rootlets,>75%,,,
ZBBX,1,"Cell body, Cilia",>75%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,0,Cilia,<25%,0,Cilia,>75%,0,Cilia tip,>75%,1,"Cell body, Cilia",75-25%,1,"Cell body, Cilia",>75%,,,